id,x,y,z,yaw,pitch,roll
1,-284.892,226.124,-12.603,2.44815,0.0140598,0.0400253
2,-285.134,226.332,-12.6047,2.44824,0.0128175,0.0396007
3,-285.362,226.535,-12.6029,2.44845,0.0125418,0.0356391
4,-285.584,226.739,-12.6131,2.44899,0.0119875,0.0336046
5,-285.803,226.934,-12.6162,2.45008,0.0111025,0.0316236
6,-286.019,227.126,-12.6174,2.45041,0.0107715,0.0314987
7,-286.233,227.313,-12.617,2.44979,0.0102761,0.0320917
8,-286.445,227.494,-12.6181,2.45025,0.00934838,0.0330033
9,-286.651,227.68,-12.6154,2.45119,0.00774127,0.0333972
10,-286.862,227.86,-12.6103,2.45123,0.00656293,0.0329115
11,-287.052,228.036,-12.5881,2.45126,0.00263254,0.0324347
12,-287.255,228.208,-12.5863,2.45117,-0.00173523,0.0344173
13,-287.452,228.375,-12.6115,2.45071,-0.00422002,0.0369767
14,-287.64,228.532,-12.6295,2.45011,-0.00348696,0.0386835
15,-287.83,228.693,-12.6378,2.45076,-0.00186551,0.0394746
16,-288.01,228.844,-12.6367,2.45087,-0.000676265,0.0397245
17,-288.178,228.997,-12.6454,2.45116,-0.000541696,0.039693
18,-288.356,229.147,-12.6634,2.4516,0.00184503,0.040469
19,-288.52,229.288,-12.6742,2.45245,0.00512599,0.0399661
20,-288.687,229.431,-12.6736,2.45269,0.00671357,0.0376597
21,-288.849,229.574,-12.6711,2.45289,0.00634867,0.0355362
22,-289.006,229.707,-12.6779,2.45389,0.00591858,0.0352756
23,-289.161,229.844,-12.6924,2.45374,0.00640009,0.0373102
24,-289.32,229.969,-12.7088,2.45347,0.00990156,0.0392025
25,-289.467,230.091,-12.7125,2.45402,0.0123192,0.0416338
26,-289.616,230.224,-12.707,2.45532,0.0143812,0.043177
27,-289.751,230.349,-12.697,2.45516,0.0147795,0.0451875
28,-289.897,230.478,-12.6894,2.45439,0.0139557,0.0443902
29,-290.033,230.59,-12.6762,2.45535,0.0117952,0.0438693
30,-290.165,230.723,-12.6858,2.4564,0.00971834,0.0434763
31,-290.308,230.834,-12.6857,2.45636,0.00872581,0.042908
32,-290.431,230.953,-12.6651,2.45725,0.0058308,0.0399847
33,-290.555,231.072,-12.6711,2.45611,0.00182017,0.0409459
34,-290.701,231.179,-12.6725,2.45591,-0.000746419,0.0410647
35,-290.818,231.289,-12.6241,2.45581,-0.00634078,0.039405
36,-290.955,231.403,-12.6344,2.45498,-0.0146702,0.0403967
37,-291.081,231.516,-12.6783,2.45511,-0.0149742,0.040217
38,-291.203,231.614,-12.7331,2.45539,-0.00884473,0.0409941
39,-291.326,231.708,-12.7728,2.45603,-0.000160697,0.042156
40,-291.433,231.813,-12.7353,2.45651,0.0054093,0.0413687
41,-291.566,231.935,-12.7188,2.45623,0.0020769,0.0437938
42,-291.687,232.047,-12.7316,2.45508,-0.000856128,0.0479086
43,-291.812,232.139,-12.7486,2.45382,-0.00076194,0.0528728
44,-291.949,232.257,-12.7541,2.45357,0.0013455,0.0563464
45,-292.065,232.364,-12.7475,2.45443,0.00392474,0.0551661
46,-292.18,232.464,-12.745,2.45503,0.00659643,0.0509089
47,-292.287,232.567,-12.7359,2.45564,0.00764608,0.0461212
48,-292.406,232.667,-12.7381,2.45618,0.00584647,0.0461607
49,-292.527,232.779,-12.7535,2.45489,0.00384205,0.047953
